,id,overall_rating,recommended_to_a_friend,food,service,ambiance,noise_level,dining_style,cuisines,price_range,hours_of_operation
39,96886,4.3,89,4,4.5,4.6,Quiet,Casual Elegant,Afternoon Tea Dessert,$50 and over,Wednesday-Friday 1:00pm - 4:00pm  Saturday-Sunday 12:00pm-5:00pm 
40,100417,4.5,100,4.5,4.3,4.1,Moderate,Casual Dining,Indian,$30 and under,"Lunch 
Mon-Thurs: 12pm-3pm
Fri-Sun: 12pm-4pm

Dinner: 
Mon-Thurs: 5pm-11pm
Fri & Sat: 4pm-12am
Sunday: 4pm-10pm "
41,76312,4.4,100,4,4.3,4.8,Quiet,Casual Dining,American Contemporary American Continental,$30 and under,Breakfast from 7 am to 5 pm daily  Brunch from 10 am to 5 pmLunch from 11 am to 5 pmDinner 5 pm to midnight Sunday - ThursdayDinner 5 pm - 1:30 am Fri-Sat
42,139741,4.6,91,4.5,4.6,4.5,Moderate,Casual Elegant,Contemporary American Global International,$31 to $50,Dinner: Sunday - Wednesday: 5:30pm - midnight (Kitchen until 10pm)Thursday - Saturday: 5:30pm - 1:00am (Kitchen until 11pm)
43,37768,4.6,91,4.6,4.6,4.5,Quiet,Casual Dining,Italian,$31 to $50,Lunch: Monday - Friday: 12:00pm - 3:00pm; Dinner: Monday - Wednesday: 5:00pm - 11:00pm Thursday - Friday: 5:00pm - 12:00am Saturday: 4:30pm - 12:00am Sunday: 4:00pm - 10:00pm
44,116047,4.5,89,4.4,4.5,4.2,Quiet,Casual Dining,Italian,$30 and under,Monday-SundayBreakfast 6am-11amLunch 12pm-3pmDinner 3pm-11:00pmBar 12pm-11pm
45,87547,4.7,90,4.7,4.8,4.5,Quiet,Fine Dining,Italian,$31 to $50,Monday - Friday: 11:30am - 3:00pmMonday - Friday: 5:00pm - 9:00pm
46,6765,4.4,82,4.3,4.3,4.2,Quiet,Casual Elegant,Steakhouse American,$31 to $50,Lunch & Dinner: Monday - Friday 11:30am-11:00pm Saturday & Sunday 5:00pm-11:00pm
47,78694,4.4,83,4.2,4.3,4.2,Moderate,Casual Dining,American Comfort Food Gastro Pub,$30 and under,Lunch: Monday - Friday: 11:30am - 4:00pm; Dinner: Monday - Saturday: 4:00pm - 12:00am Saturday: 4:00pm - 11:00pm; Brunch: Saturday -Sunday: 11:00am - 3:30pm
48,78139,4.6,100,4.4,4.6,4.5,Moderate,Casual Elegant,Tapas / Small Plates,$30 and under,Lunch: Monday - Friday: 11:30am - 4:00pm; Dinner: Monday - Wednesday: 4:00pm - 2:00am Thursday - Saturday: 4:00pm - 4:00am Sunday: 4:00pm - 1:00am; Brunch: Saturday - Sunday: 12:00pm - 4:00pm
49,76930,3.9,84,3.8,3.9,3.7,Moderate,Casual Dining,American Irish International,$30 and under,Monday - Sunday: 11:00am - 4:00am
50,45523,4.3,93,4.2,4.3,4.6,Moderate,Casual Dining,Contemporary American,$30 and under,Restaurant HoursSunday: 11:00AM-10:00PMMonday-Tuesday: 11:00AM-11:00PMWednesday-Saturday: 11:00AM-12:00AMBar HoursSunday: 11:00AM-12:00AMMonday-Tuesday: 11:00AM-1:00AMWednesday-Saturday: 11:00AM-3:00AMOffice HoursMonday-Friday: 10:00AM-6:00PM
51,39748,4.4,91,4.2,4,4.6,Moderate,Casual Dining,Italian,$30 and under,Lunch: Monday - Sunday: 11:30am - 4:00pm; Dinner: Monday - Sunday: 4:00pm - 10:00pm 
52,5333,4.5,91,4.5,4.4,4.5,Moderate,Casual Elegant,Steakhouse American,$50 and over,Lunch: Monday - Friday 11:30am-3:00pm; Dinner: Monday - Saturday 5:00pm-10:00pm
53,3073,3.9,81,3.9,4,4.2,Quiet,Casual Dining,American Continental,$31 to $50,Monday - Saturday 11:30am - 9:00pm & Sunday 11:30am - 3pm. Beer Garden open daily (weather permitting) starting at 11:30am.Battery Gardens Restaurant will always have  Private Events on Saturday & Sunday's. Therefore for the Dinner Reservations for the Restaurant the only option that will be available is Outdoor Seating. The Inside Seating areas will be Reserved  for Private Events.Based on the event schedule; Lunch or Dinner may be served in an alternate dining room. A member of the management team will notify reservations if effected. 
54,139156,4,100,3.5,3.6,3.5,Moderate,Casual Dining,American Comfort Food Barbecue,$31 to $50,Lunch: Monday - Sunday: 11:00am - 4:00pmDinner: Saturday - Wednesday: 4:00pm - 10:00pmThursday - Friday: 4:00pm - 10:30pm
55,54454,4.6,97,4.6,4.3,4.4,Moderate,Casual Elegant,Steak American,$31 to $50,Monday - Saturday: 11:30am - 12:00am; Lounge/Bar open later
56,1980,4.6,93,4.4,4.5,4.6,Quiet,Casual Dining,American,$31 to $50,Breakfast: Mon- Fri 6:30am - 11:00am Sat and Sun 7am -11:30amWeekend Brunch Saturdays and Sundays: 11:00am - 2:30pm;Lunch Daily: Mon-Fri 11:00am - 2:30pm Sat 11:30-2:30pmDinner Daily: 6:00pm - 10:00pm
57,15040,4.4,73,4.3,4.2,4.1,Moderate,Casual Elegant,Japanese Sushi Bar / Lounge / Bottle Service,$30 and under,Mon - Fri: 11:30am - 10:30pmSat-Sun: 5:00pm-10:30pmHappy hour:Mon-Fri: 3:00pm-7:00pm (at the bar & sushi bar)Sat: 5:00pm-7:00pm
58,51835,4.2,86,4.3,4.2,4,Moderate,Casual Dining,American Gastro Pub,$30 and under,Breakfast: Daily: 7:00am - 10:00am; Brunch: Saturday - Sunday: 10:00am - 4:00pm; Lunch: Monday - Friday: 11:30am - 3:00pm; Dinner: Daily: 5:00pm - 11:00pm
59,28126,4.2,88,3.8,3.7,3.9,Moderate,Casual Dining,Contemporary American Gastro Pub Comfort Food,$30 and under,Monday Through Friday from 11:30AM to 10:00PM 
60,68272,4.1,100,3.9,4.5,4.3,Quiet,Casual Dining,American Comfort Food,$30 and under,Monday - Thursday: 11:00am - 1:00am Friday - Saturday: 11:00am - 2:00am Sunday: 12:00pm - 1:00am
61,97837,4,79,4.1,4,4.1,Moderate,Casual Dining,Indian Contemporary Indian,$30 and under,Lunch: Daily: 11:00am - 2:45pm  Dinner: Daily: 5:00pm - 10:30pm
62,149734,4.6,91,4.7,4.8,4.5,Moderate,Casual Elegant,Italian,$31 to $50,Lunch: Monday - Friday: 11:45am - 4:00pmDinner: Monday - Friday: 4:00pm - 11:00pmSaturday: 5:00pm - 11:00pm
63,63811,4.2,84,3.8,3.9,3.8,Moderate,Casual Dining,American,$30 and under,Hours:M-TH 11:30am-1am (Lunch and Dinner)FRI 11:30am- 2am (Lunch and Dinner)SAT 9:30am- 2am (Brunch and Dinner)SUN 9:30am-1am (Brunch and Dinner)
64,151951,4.6,87,4.6,4.6,4.5,Moderate,Casual Elegant,Italian Contemporary Italian,$31 to $50,Lunch: Monday - Friday: 11:00am - 3:00pmDinner: Monday - Sunday: 5pm - 11pm
65,145225,4.6,96,4.7,4.6,4.3,Moderate,Casual Elegant,French,$31 to $50,Dinner: Monday - Saturday: 5:00pm -10:30pm
66,69439,4.6,85,4.6,4.2,4.4,Moderate,Casual Dining,Eastern European European Comfort Food,$30 and under,Lunch: Saturday - Sunday: 12:00pm - 5:00pm; Dinner: Sunday - Thursday: 5:00pm - 11:00pm Friday - Saturday: 5:00pm - 1:00am
67,112210,4.6,62,4.5,4.3,4,Quiet,Fine Dining,Japanese,$50 and over,Tuesday - Sunday: 6:00pm - 10:00pm
68,152458,4.7,94,4.7,4.4,4.4,Moderate,Casual Dining,Contemporary American Asian Chinese,$31 to $50,Dinner: Monday - Thursday: 6:00pm - 10:30pmFriday - Saturday: 6:00pm - 11:00pmSunday: Closed
69,114505,4.3,83,4.3,4.2,4.2,Moderate,Casual Dining,Modern Australian International Asian,$31 to $50,Mon - Thur: 11.00am - 11:00pmFriday: 11.00am - 12:00amSaturday: 11:00am - 12.00amSunday: 11:00am - 10:00pm
70,38509,4.7,99,4.7,4.6,4.6,Moderate,Casual Elegant,Italian,$31 to $50,Brunch: Saturday & Sunday: 12:00pm - 3:30pm; Dinner: Monday - Thursday: 6:00pm - 11:00pm Friday & Saturday: 6:00pm - 12:00am Sunday: 5:00pm - 11:00pm
71,108907,4.6,94,4.8,4.2,4.1,Moderate,Casual Dining,Georgian Mediterranean Russian,$30 and under,Monday - Thursday: 4:00 pm - 11:00 pmFriday: 12:00 pm - 11:00 pmSaturday - Sunday: 11:00 am - 11:00 pm
72,73315,4.6,91,4.6,4.5,4.2,Moderate,Casual Dining,Contemporary American Comfort Food,$30 and under,Brunch: Saturday - Sunday: 11:00am - 3:45pm;Lunch: Tuesday - Friday: 11:30am - 3:45pm;Dinner: Monday - Thursday Sunday: 5:00pm - 11:00amFriday - Saturday: 5:00pm - 12:00am 
73,90538,4.2,92,3.5,3.7,4.2,Moderate,Casual Dining,Mediterranean French Eastern European,$30 and under,"
Friday - Sunday: 12:00pm - 5:00pm

Friday - Sunday: 12:00pm - 5:00pm

Monday - Thursday: 5:00pm - 11:00pm
Friday & Saturday: 5:00pm - 12:00am
Sunday: 5:00pm - 10:00pm"
74,64480,4.7,98,4.8,4.7,4.6,Moderate,Casual Dining,Tapas / Small Plates,$30 and under,Lunch: Saturday: 12:00pm - 4:00pm Sunday: 12:00pm - 4:00pm; Dinner: Monday - Wednesday: 5:00pm - 11:00pm Thursday - Friday: 5:00pm - 12:00am Saturday 4:00pm - 12am Sunday: 5:00pm - 10:00pm
75,70129,4.3,85,4.1,3.9,3.7,Moderate,Casual Dining,Mexican,$30 and under,Lunch: Tuesday - Friday: 11:30am - 4:00pm; Dinner: Sunday - Wednesday: 4:00pm - 11:00pm Thursday: 4:00pm - 12:00am Friday - Saturday: 4:00pm - 1:00am; Brunch: Saturday - Monday: 10:30am - 4:00pm
76,76861,4.5,93,4.3,4.4,4.3,Moderate,Casual Dining,Contemporary Mexican,$31 to $50,Dinner: Sunday: 5:00pm - 9:30pm Monday - Thursday: 5:00pm - 10:30pm Friday - Saturday: 5:00pm - 11:30pm; Brunch: Saturday: 11:00am - 4:00pm; Sunday 12noon - 5pm
77,71815,4.3,67,3.8,3.2,3.6,Moderate,Casual Dining,Italian American Comfort Food,$30 and under,Lunch: Monday - Sunday: 12:00pm - 4:00pm; Dinner: Monday - Friday: 4:00pm - 10:30pm Saturday - Sunday: 4:00pm - 11:00pm
78,41515,4.6,90,4.5,4.4,4.3,Moderate,Casual Dining,Mediterranean Lebanese Middle Eastern,$30 and under,Lunch and Dinner: Daily: Sunday till Thursday  11:30am - 11:00pmLunch and Dinner: Daily: Friday & Saturday  11:30am - 1:00amBrunch: Saturday and Sunday: 11:30am - 5:00pm 
79,118699,4.6,98,4.5,4.3,4.6,Moderate,Casual Dining,Austrian Contemporary German European,$30 and under,Brunch: Saturday and Sunday: 11:30am - 3:30pmDinner: Sunday - Thursday: 5:00pm - 11:00pmFriday - Saturday: 5:00pm - 12:00am
80,36592,4.6,98,4.6,4.4,4.5,Moderate,Casual Dining,Italian Pizzeria Tapas / Small Plates,$30 and under,Breakfast and Lunch  Monday through Friday form  11am to 5pm  Dinner: Sunday  through Thursday: 5:00pm - 10:45pm Friday  through Saturday 5:00pm - 11:45pm;  Brunch: Saturday - Sunday: 12:00pm - 5:00pm     
81,24202,4.4,86,4.3,3.9,4,Moderate,Casual Dining,Barbecue Southern American,$30 and under,Lunch: Monday - Sunday: 12:00pm - 4:00pm Dinner: Sunday - Thursday: 4:00pm - 10:00pm Friday - Saturday: 4:00pm - 11:00pm; Bar open until 2:00am daily
82,95353,4.4,88,4.4,4.3,4.4,Moderate,Casual Elegant,American Seafood Southern,$31 to $50,LUNCHMonday - Friday 11:30 am - 3 pmBRUNCHSaturday - Sunday 10:30 am - 3 pmDINNERSunday and Monday 5:30 pm - 10 pmTuesday Wednesday and Thursday 5:30 pm - 11 pmFriday and Saturday 5:30 - 11pmBAR MENU Daily from 3 pm to 5:30 pm 
83,4582,4.5,84,4.5,4.6,4.4,Moderate,Casual Elegant,Steak American,$50 and over,BLT Prime is pleased to offer dinner seven nights per week.Monday - Thursday 5:30pm-10:30pmFriday & Saturday 5:30pm-11:00pmSunday 5:00pm-10:00pm
84,2494,4.5,95,4.2,4.2,4.3,Moderate,Casual Dining,American Mediterranean French,$31 to $50,Brunch 10:30 AM Weekends ; Lunch 11:30 AM Weekdays; Dinner 6pm Mon-Sat; 5pm Sunday
85,112936,4.1,80,3.9,3.7,4,Moderate,Casual Elegant,Contemporary American,$30 and under,Dinner: Monday - Tuesday: 5:30pm - 10:00pmWednesday - Saturday: 5:30pm - 11:00pmBar Opens Monday-Friday at 3:00pm and Saturday at 5:30pmLounge Available for Private Parties & Events 7 days
86,41734,4.4,87,4.5,4.3,4.3,Moderate,Casual Elegant,Latin American Peruvian South American,$31 to $50,Dinner Monday - Thursday 5:00pm to 9:30pm Bar closes 10:30pmFriday & Saturday 5:00pm to 10:30pm Bar closes 11:30pmSaturday and Sunday Brunch and bar 11:30 am to 4:00 pm Closed Sunday evenings.
87,36766,4.6,89,4.5,4.4,4.5,Moderate,Casual Dining,Italian,$31 to $50,Breakfast: Monday - Friday 7:30am - 10:00amLunch: Monday - Friday noon - 2:00pmBrunch: Saturday - Sunday 10:00am - 2:30pmDinner: Sunday - Wednesday: 5:30pm - 10:00pm Thursday - Saturday: 5:30pm - 10:30pm 
88,92797,4.5,87,4.6,4.2,4.2,Moderate,Casual Dining,Sushi Japanese Contemporary Asian,$30 and under,Lunch Hours: Monday - Thursday: 11:30am -2:30pm Friday: 11:30am - 2:30pmDinner Hours: Mon - Thurs: 5:00pm - 10:30pmFriday: 5:00pm - 11:30pmSaturday: 5:00pm - 11:30pm Closed Sundays
89,60616,4.5,93,4.4,4.5,4.4,Moderate,Casual Dining,American Burgers Contemporary American,$31 to $50,BrunchSaturday & Sunday11:30 - 3pmLunchMonday - Friday12pm - 3pmDinnerMonday - Wednesday 6pm - 9:30pm Thursday - Saturday 6pm - 10pm BarMonday - Friday12pm - closeSaturday4pm - close
90,61696,4.3,89,4.3,4.2,4.4,Moderate,Casual Dining,Italian Contemporary Italian,$31 to $50,Lunch11:30am – 2:30pm (Mon-Fri)Midday (Bar Only)2:30pm – 5:30pm (Mon-Fri)Dinner5:30pm – 10:00pm (Mon-Thu)5:30pm – 10:00pm (Fri)4:00pm – 10:00pm (Sat)4:00pm – 9:30pm (Sun)
91,45325,4.1,50,3.7,3.6,3.9,Moderate,Casual Elegant,Bar / Lounge / Bottle Service Mediterranean,$30 and under,4:00 PM - 1:00 AM
92,89980,4.6,94,4.5,4.6,4.4,Moderate,Casual Dining,Italian Pizzeria,$30 and under,Lunch: Monday - Saturday: 12:00pm - 3:00pm; Dinner: Monday - Thursday: 5:00pm - 10:00pm Friday - Saturday: 5:00pm - 11:00pm Sunday: 1:00pm - 10:00pm
93,67246,4.1,100,4.4,4.4,3.9,Energetic,Casual Dining,Mexican,$30 and under,Saturday & Sunday: 11:00am - 4:00pmMonday - Sunday: 4:00pm - 11:00pm
94,45877,4.3,87,4.3,4.3,4.1,Moderate,Casual Elegant,American Seafood Contemporary American,$30 and under,Lunch: Monday - Friday 11:30am - 3:00pmBrunch: Saturday 11:00am - 3:00pm  Dinner: Monday - Wednesday 3:00pm - 10:00pm (LAST SEATING 9:15 PM)Dinner: Thursday & Friday 3:00pm - 10:30pm(LAST SEATING 9:45 PM)Dinner: Saturday 4:00pm - 10:00pm Sunday: Closed
95,45322,3.6,67,3.4,3.6,3.2,Moderate,Casual Dining,American Global International,$30 and under,Lunch: Monday - Friday: 11:00am - 5:00pm; Dinner: Monday - Saturday: 5:00pm - 11:00pm Sunday: 4:00pm - 10:00pm; Brunch: Saturday - Sunday: 11:00am - 4:00pm;Bar: Monday - Sunday: 11:00am - 1:00am
96,15586,4.4,88,4.4,4.3,4,Moderate,Casual Dining,Italian,$30 and under,Monday: 12:00 - 3:00/5:00 - 10:00Tuesday: 12:00 - 3:00/4:30 - 12:00Wednesday: 11:30 - 2:30/4:00 - 12:00Thursday: 12:00 - 3:00/4:30 - 12:00Friday: 12:00 - 3:00/4:30 - 12:00Saturday: 11:30 - 3:00/4:00 - 12:00Sunday: 12:00 - 3:00/3:00 - 10:00 
